id_linea,id_orden,fecha_orden,pais,canal,segmento_cliente,rating_cliente,categoria,subcategoria,marca,proveedor,vendedor,metodo_pago,promocion,prioridad_envio,cantidad,precio_unitario,descuento_pct,costo_unitario,tipo_cambio_gtq,venta_neta_gtq,margen_gtq,dias_entrega,entrega_tardia,stock_disponible,dias_reposicion_proveedor,devuelto
ORD-2025-000001-01,ORD-2025-000001,2024-12-24,Honduras,B2B,Minorista,1.0,oficina,Herramientas,OfficeLab,OficinaTotal,María García,Crédito 60 días,Sin promo,Normal,24.0,1686.39,0.12,994.65,0.3156,11240.5853,3491.3461,12.0,1,233,5,0
ORD-2024-000002-01,ORD-2024-000002,2024-07-08,guatemala, retail,Mayorista,3.0,Hogar,Electrodomésticos,Ninja,CasaPlus,Ana López,PayPal,Sin promo,Express,2.0,838.42,0.0,561.16,0.9852,1652.0228,449.1724,3.0,0,149,10,0
ORD-2025-000003-01,ORD-2025-000003,2025-01-12,El Salvador,Retail,Premium,,Belleza,Skincare,Nivea,BeautyCorp,Carlos Méndez,Crédito 60 días,Sin promo,Express,3.0,15.19,0.08,9.2,7.7098,323.2287,43.6714,13.0,1,160,30,0
ORD-2024-000004-01,ORD-2024-000004,2025-09-18,Guatemala,Retail,Corporativo,5.0,Belleza,Skincare,Nivea,BeautyCorp,,Tarjeta,Bundle,Same day,4.0,120.17,0.2,69.03,1.0117,389.0432,81.8708,1.0,0,105,7,0
ORD-2024-000004-02,ORD-2024-000004,2025-09-18,Guatemala,Retail,Corporativo,5.0,Oficina,Archivo,MetalWorks,Distribuciones Norte,,Tarjeta,Bundle,Same day,16.0,947.2,0.15,623.4,1.0117,13032.6385,2763.1449,1.0,0,98,21,0
ORD-2025-000005-01,ORD-2025-000005,2025-07-21,Guatemala,Empresa,Corporativo,3.0,Deportes,FITNESS,FitPro,SportMax,José Pérez,PayPal,Sin promo,Normal,30.0,1337.03,0.16,847.43,0.989,33322.5313,7999.2951,11.0,1,80,3,1
ORD-2025-000005-02,ORD-2025-000005,2025-07-21,Guatemala,Empresa,Corporativo,3.0,Hogar,Electrodomésticos,Ninja,CasaPlus,José Pérez,PayPal,Sin promo,Normal,2.0,866.54,0.1,551.76,0.989,1542.6145,392.269,11.0,1,247,14,1
ORD-2025-000005-03,ORD-2025-000005,2025-07-21,Guatemala,Empresa,Corporativo,3.0,Hogar,Limpieza,Samsung,CasaPlus,José Pérez,PayPal,Sin promo,Normal,4.0,1828.05,0.03,1262.54,0.989,7014.8128,1973.0688,11.0,1,120,14,1
ORD-2024-000006-01,ORD-2024-000006,2025-10-05,Guatemala,Empresa,Minorista,2.0,Deportes,Natación,Speedo,SportMax,Carlos Méndez,Transferencia,Descuento volumen,Normal,2.0,396.16,0.08,228.5,0.9882,720.333,236.2336,14.0,0,182,30,0
ORD-2025-000007-01,ORD-2025-000007,2024-10-09,El Salvador,Distribuidor,Mayorista,,Alimentos,Snacks,Lindt,Importadora Sur,Sofía Herrera,Crédito 60 días,Bundle,Normal,4.0,18.11,0.13,11.26,7.9087,498.4284,15.2068,7.0,0,219,10,0
ORD-2025-000007-02,ORD-2025-000007,2024-10-09,El Salvador,Distribuidor,Mayorista,,Hogar,CLIMATIZACIÓN,Xiaomi,GlobalTech,Sofía Herrera,Crédito 60 días,Bundle,Normal,12.0,161.94,0.16,113.32,7.9087,12909.8076,2086.5934,7.0,0,171,7,0
ORD-2025-000007-03,ORD-2025-000007,2024-10-09,El Salvador,Distribuidor,Mayorista,,Oficina,Mobiliario,ErgoPro,OficinaTotal,Sofía Herrera,Crédito 60 días,Bundle,Normal,72.0,214.44,0.16,136.71,7.9087,102570.5497,24444.2985,7.0,0,2,30,0
ORD-2025-000007-04,ORD-2025-000007,2024-10-09,El Salvador,Distribuidor,Mayorista,,Deportes,CICLISMO,Giant,Importadora Sur,Sofía Herrera,Crédito 60 días,Bundle,Normal,4.0,550.11,0.2,398.09,7.9087,13922.0959,1264.3006,7.0,0,67,7,0
ORD-2025-000007-05,ORD-2025-000007,2024-10-09,El Salvador,Distribuidor,Mayorista,,Belleza,Skincare,Nivea,BeautyCorp,Sofía Herrera,Crédito 60 días,Bundle,Normal,2.0,14.5,0.25,9.1,7.9087,172.0142,-9.4904,7.0,0,98,10,0
